"","treatment_period","week_id","grid_id","treatment","camera_id","common_name"
"373",2,7,"S2","control","S2T1","Human"
"374",2,7,"S2","control","S2T1","Human"
"375",2,7,"S2","control","S2T1","Human"
"376",2,7,"S2","control","S2T1","Human"
"377",2,7,"S2","control","S2T1","Human"
"378",2,7,"S2","control","S2T1","Human"
"379",2,7,"S2","control","S2T1","Human"
"380",2,7,"S2","control","S2T1","Human"
"381",2,7,"S2","control","S2T1","Human"
"382",2,7,"S2","control","S2T1","Human"
"383",2,7,"S2","control","S2T1","Human"
"384",2,7,"S2","control","S2T1","Human"
"385",2,7,"S2","control","S2T10","Human"
"386",2,7,"S2","control","S2T10","Human"
"387",2,7,"S2","control","S2T10","Human"
"388",2,7,"S2","control","S2T10","Human"
"389",2,7,"S2","control","S2T10","Human"
"390",2,7,"S2","control","S2T10","Human"
"391",2,7,"S2","control","S2T11","Human"
"392",2,7,"S2","control","S2T11","Human"
"393",2,7,"S2","control","S2T11","Human"
"394",2,7,"S2","control","S2T11","Human"
"395",2,7,"S2","control","S2T11","Human"
"396",2,7,"S2","control","S2T11","Human"
"397",2,7,"S2","control","S2T11","Human"
"398",2,7,"S2","control","S2T12","Human"
"399",2,7,"S2","control","S2T12","Human"
"400",2,7,"S2","control","S2T12","Human"
"401",2,7,"S2","control","S2T12","Human"
"402",2,7,"S2","control","S2T12","Human"
"403",2,7,"S2","control","S2T12","Human"
"404",2,7,"S2","control","S2T12","Human"
"405",2,7,"S2","control","S2T12","Human"
"406",2,7,"S2","control","S2T2","Human"
"407",2,7,"S2","control","S2T2","Human"
"408",2,7,"S2","control","S2T2","Human"
"409",2,7,"S2","control","S2T2","Human"
"410",2,7,"S2","control","S2T2","Human"
"411",2,7,"S2","control","S2T2","Human"
"412",2,7,"S2","control","S2T2","Human"
"413",2,7,"S2","control","S2T2","Human"
"414",2,7,"S2","control","S2T3","Human"
"415",2,7,"S2","control","S2T3","Human"
"416",2,7,"S2","control","S2T3","Human"
"417",2,7,"S2","control","S2T3","Human"
"418",2,7,"S2","control","S2T3","Human"
"419",2,7,"S2","control","S2T3","Human"
"420",2,7,"S2","control","S2T3","Human"
"421",2,7,"S2","control","S2T4","Human"
"422",2,7,"S2","control","S2T4","Human"
"423",2,7,"S2","control","S2T4","Human"
"424",2,7,"S2","control","S2T4","Human"
"425",2,7,"S2","control","S2T4","Human"
"426",2,7,"S2","control","S2T4","Human"
"427",2,7,"S2","control","S2T4","Human"
"428",2,7,"S2","control","S2T4","Human"
"429",2,7,"S2","control","S2T4","Human"
"430",2,7,"S2","control","S2T5","Human"
"431",2,7,"S2","control","S2T5","Human"
"432",2,7,"S2","control","S2T5","Human"
